time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-10T03:49:22.467Z,63.3067,-150.4578,136.1,1.9,ml,,,,0.69,ak,ak17002318,2017-10-10T03:54:53.852Z,"76km W of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-10-10T03:45:34.930Z,32.282,-115.2163333,11.16,2.49,ml,17,217,0.1207,0.27,ci,ci38022272,2017-10-10T03:54:21.952Z,"8km NW of Alberto Oviedo Mota, B.C., MX",earthquake,2.21,1.54,0.251,26,automatic,ci,ci
2017-10-10T03:23:34.202Z,60.1517,-153.0526,123.9,2.3,ml,,,,0.88,ak,ak17002309,2017-10-10T03:38:23.465Z,"40km SSW of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-10-10T03:16:39.470Z,38.4119987,-122.6240005,6.46,2.92,md,52,76,0.03815,0.11,nc,nc72906831,2017-10-10T04:07:44.044Z,"6km W of Kenwood, California",earthquake,0.24,0.47,0.11,71,automatic,nc,nc
2017-10-10T03:08:00.690Z,33.5123333,-116.7935,5.09,0.92,ml,41,36,0.005723,0.17,ci,ci38022264,2017-10-10T03:11:41.474Z,"10km NE of Aguanga, CA",earthquake,0.19,0.66,0.139,25,automatic,ci,ci
2017-10-10T01:27:25.794Z,36.4498,-113.8108,9.9,1.2,ml,6,216.68,0.723,0.3215,nn,nn00608698,2017-10-10T01:46:52.641Z,"45km SSE of Mesquite, Nevada",earthquake,,8.6,0.09,3,reviewed,nn,nn
2017-10-09T15:05:17.927Z,63.0307,-147.9928,0,1.8,ml,,,,0.93,ak,ak17000091,2017-10-09T15:13:42.380Z,"62km SE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-09T15:00:51.869Z,38.2597,-118.7161,8.8,1.4,ml,17,84.72,0.166,0.1687,nn,nn00608575,2017-10-09T18:54:21.679Z,"30km SSW of Hawthorne, Nevada",earthquake,,2.7,0.52,6,reviewed,nn,nn
2017-10-10T02:46:35.050Z,39.5973,-120.4055,8.5,0.4,ml,5,180.3,0.132,,nn,nn00608709,2017-10-10T02:47:37.926Z,"24km SSE of Portola, California",earthquake,,,,,automatic,nn,nn
2017-10-10T02:45:37.060Z,45.3208333,-121.6861667,6.76,2.69,ml,19,83,0.02265,0.16,uw,uw61339596,2017-10-10T03:33:03.928Z,"23km E of Mount Hood Village, Oregon",earthquake,0.29,0.25,0.146,19,reviewed,uw,uw
2017-10-10T02:39:44.016Z,65.0003,-147.3682,2.6,1.4,ml,,,,0.65,ak,ak17002021,2017-10-10T02:44:10.458Z,"23km NNE of Badger, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-10-10T02:37:52.384Z,39.597,-120.4163,6.6,1.3,ml,18,120.25,0.151,0.1436,nn,nn00608708,2017-10-10T02:56:41.110Z,"24km S of Portola, California",earthquake,,4.7,0.44,10,reviewed,nn,nn
2017-10-10T02:37:44.532Z,60.8775,-151.395,54.6,2.2,ml,,,,0.5,ak,ak17002016,2017-10-10T02:42:29.250Z,"21km NNW of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-10-10T02:32:36.000Z,39.5999985,-120.3980026,-1.22,2.54,md,17,87,0.1383,0.13,nc,nc72906801,2017-10-10T03:42:15.564Z,"24km SSE of Portola, California",earthquake,0.39,8.02,0.2,16,automatic,nc,nc
2017-10-10T02:24:15.150Z,62.753,-149.575,72.1,1.7,ml,,,,0.61,ak,ak17002009,2017-10-10T02:30:31.550Z,"55km NNE of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-10-10T02:10:52.580Z,34.7093333,-119.1878333,11.71,1.89,ml,7,117,0.0731,0.09,ci,ci38022256,2017-10-10T02:14:37.022Z,"16km SSW of Pine Mountain Club, CA",earthquake,0.91,1.06,0.246,10,automatic,ci,ci
2017-10-10T02:04:43.350Z,45.3028333,-121.6751667,7.25,0.75,ml,7,177,0.02588,0.12,uw,uw61339576,2017-10-10T02:27:01.670Z,"24km ESE of Mount Hood Village, Oregon",earthquake,0.63,0.49,0.203,5,reviewed,uw,uw
2017-10-10T02:04:21.350Z,33.5141667,-116.5036667,12.26,1.54,ml,58,59,0.04888,0.19,ci,ci38022248,2017-10-10T02:15:45.320Z,"16km ESE of Anza, CA",earthquake,0.21,0.35,0.205,26,automatic,ci,ci
2017-10-10T01:59:55.950Z,36.373,-117.4682,9,1.2,ml,8,256.47,0.512,,nn,nn00608704,2017-10-10T02:01:23.581Z,"59km ESE of Lone Pine, California",earthquake,,,,,automatic,nn,nn
2017-10-10T01:50:43.430Z,59.5243,-152.8669,79.3,2.2,ml,,,,0.59,ak,ak17001721,2017-10-10T01:58:52.432Z,"64km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-09T23:44:02.160Z,33.494,-116.7898333,5.57,0.28,ml,10,220,0.08365,0.08,ci,ci38022192,2017-10-10T00:49:06.073Z,"9km NE of Aguanga, CA",earthquake,0.37,0.83,0.112,6,reviewed,ci,ci
2017-10-10T01:30:41.580Z,38.8079987,-122.7891693,-0.7,0.62,md,7,94,0.004792,0.1,nc,nc72906791,2017-10-10T02:03:04.049Z,"4km NW of The Geysers, California",earthquake,0.29,2.1,0.24,3,automatic,nc,nc
